Curriculum,ENVS emphasis,,,,,,,,,,,,Institution
Institution,University of Arizona,,,,,,,,,,,,1 =  Cochise College
Degree Type,BS,,,,,,,,,,,,2 = UA
System Type,semester,,,,,,,,,,,,
CIP,,,,,,,,,,,,,
Courses,,,,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,,,
96,Geomorphology,GEOS ,450,,,,4,,,,,,
97,Watershed Hydrology,HWRS ,460A,,,,4,,,,,,
98,Principles of Hydrology,HWRS  OR 349A/B,350,,,,3,,,,,,
99,Introductory Physics II,PHYS ,103,,,,3,,,,,,
100,Introductory Mechanic,PHYS ,141,,,,4,,,,,,
101,Introductory Optics and Thermodynamics, PHYS ,142,,,,3,,,,,,
102,Global Change,GEOS ,478,,,,3,,,,,,
103,Applications of Geographic Information Systems,RNR ,403,,,,3,,,,,,
104,Geographic Information Systems for Natural & Social Science,RNR ,417,,,,3,,,,,,
105,Dryland Ecohydrology and Vegetation Dynamics,WSM/RNR ,452,,,,4,,,,,,
106,Air Pollution I: Gases ,ATMO ,469A,,,,3,,,,,,
107,Air Pollution II: Aerosols ,ATMO ,469B,,,,3,,,,,,
108,Synoptic Meteorology ,ATMO ,471,,,,3,,,,,,
109,Atmospheric Electricity ,ATMO ,489,,,,3,,,,,,
110,Conservation Biology in the Field ,ECOL ,406L,,,,1,,,,,,
111,Conservation Biology ,ECOL ,406R,,,,3,,,,,,
112,Freshwater & Marine Algae ,ECOL ,475,,,,4,,,,,,
113,Environmentally Aquired Illnesses ,EHS ,420,,,,3,,,,,,
115,Introduction to Remote Sensing ,ENVS ,330,,,,3,,,,,,
116,Geographical Applications of Remote Sensing ,ENVS ,483,,,,3,,,,,,
118,Introduction to Human Health Risk Assessment ,ENVS ,418,,,,3,,,,,,
119,Environmental Microbiology ,ENVS ,425,,,,3,,,,,,
120,Environmental Microbiology Laboratory ,ENVS ,426,,,,2,,,,,,
121,Limnology ,ENVS ,442,,,,3,,,,,,
122,Water Harvesting ,ENVS ,454,,,,3,,,,,,
123,Aquatic Plants & the Environment ,ENVS ,474,,,,4,,,,,,
125,"Water, Environment, & Society ",GEOG ,304,,,,3,,,,,,
126,Field Study in Geography Workshop ,GEOG ,397A,,,,1,,,,,,
127,Environmental & Resource Geography ,GEOG ,461,,,,3,,,,,,
128,Physical Geology ,GEOS ,251,,,,4,,,,,,
129,Glacial & Quaternary Geology ,GEOS ,453,,,,3,,,,,,
130,Natural History of Disasters ,HIST ,358,,,,3,,,,,,
131,Environmental Law and Policy ,LAW ,454,,,,3,,,,,,
132,Public International Environmental Law ,LAW ,459,,,,3,,,,,,
133,Calculus II ,MATH ,129,,,,3,,,,,,
134,Rangeland Plant Communities of the West ,RAM ,382,,,,3,,,,,,
135,Management & Restoration of Wildlands Vegetation ,RAM ,446,,,,3,,,,,,
136,Rangeland Inventory & Monitoring ,RAM ,456A,,,,3,,,,,,
137,Natural Resources Measurements ,RNR ,469A,,,,3,,,,,,
138,Conservation Planning & Wildland Recreation ,RNR ,469B,,,,3,,,,,,
139,Environmental Land Use Planning ,RNR ,471,,,,3,,,,,,
140,Natural Resources Policy & Law ,RNR ,489,,,,3,,,,,,
141,Natural Resources Economics & Planning ,RNR ,406L,,,,1,,,,,,
142,Conservation Biology: Field Studies in Developing Countries (Namibia) ,RNR ,406R,,,,3,,,,,,
143,Amazon Rainforest Conservation Biology in Ecuador ,RNR ,475,,,,4,,,,,,
144,Dryland Ecohydrology & Vegetation Dynamics ,WSM/RNR ,420,,,,3,,,,,,
145,Watershed Management ,WSM ,300,,,,3,,,,,,
146,Wildland Water Quality ,WSM ,330,,,,3,,,,,,
